
> client@0.0.0 dev
> vite


  VITE v6.4.1  ready in 585 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: use --host to expose
7:56:25 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:00:37 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:02:34 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:06:59 PM [vite] (client) hmr update /src/App.jsx
8:06:59 PM [vite] (client) hmr update /src/App.jsx
8:07:10 PM [vite] (client) hmr update /src/App.jsx
8:08:26 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:09:34 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:14:29 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:15:57 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:16:29 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:22:12 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:24:32 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:32:03 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:32:37 PM [vite] (client) hmr update /src/components/modals/TravelSupportModal.jsx
8:35:47 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:37:49 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:41:46 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:44:08 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:45:22 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:45:37 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:47:59 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:57:25 PM [vite] (client) hmr update /src/App.jsx
8:59:03 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
8:59:22 PM [vite] (client) hmr update /src/tabs/TravelSupportTab.jsx
